Country;Life;AM;ID;HepB;Measles;BMI;U5D;Polio;TotalExpend;Diphth;HIV;GDP;P;TH119;TH59;S
Afghanistan;59,90;271,00;64,00;62,00;492,00;18,60;86,00;58,00;8,18;62,00;0,10;613,00;327582,00;17,50;0,50;10,00
Albania;77,50;8,00;;98,00;;57,20;1,00;98,00;5,88;98,00;0,10;4576,00;288914,00;1,30;0,80;14,20
Algeria;75,40;11,00;21,00;95,00;;58,40;24,00;95,00;7,21;95,00;0,10;548,00;39113313,00;5,80;0,70;14,40
Angola;51,70;348,00;67,00;64,00;11699,00;22,70;101,00;68,00;3,31;64,00;2,00;479,00;2692466,00;8,30;0,50;11,40
Argentina;76,20;118,00;8,00;94,00;1,00;62,20;9,00;92,00;4,79;94,00;0,10;12245,00;42981515,00;0,90;0,80;17,30
Armenia;74,60;12,00;1,00;93,00;13,00;54,10;1,00;95,00;4,48;93,00;0,10;3995,00;29622,00;2,10;0,70;12,70
Armenia;73,50;132,00;1,00;94,00;2,00;51,20;1,00;96,00;4,56;94,00;0,10;3218,00;2877311,00;2,10;0,70;12,30
Australia;82,70;6,00;1,00;91,00;340,00;66,10;1,00;92,00;9,42;92,00;0,10;62215,00;2346694,00;0,60;0,90;20,40
Austria;81,40;66,00;;98,00;117,00;57,10;;98,00;11,21;98,00;0,10;51323,00;8541575,00;2,00;0,90;15,90
Azerbaijan;72,50;119,00;5,00;94,00;;51,50;6,00;97,00;6,40;94,00;0,10;7891,00;953579,00;2,90;0,80;12,20
Bangladesh;71,40;132,00;98,00;97,00;289,00;17,70;121,00;97,00;2,82;97,00;0,10;185,00;15945279,00;18,60;0,60;10,00
Belarus;72,00;199,00;;97,00;64,00;61,70;;97,00;5,69;97,00;0,10;8318,00;9474511,00;2,00;0,80;15,70
Belgium;89,00;76,00;;98,00;70,00;63,40;1,00;99,00;1,59;99,00;0,10;47439,00;112957,00;1,00;0,90;16,30
Belize;70,00;177,00;;95,00;;5,10;;95,00;5,79;95,00;0,20;4852,00;351694,00;3,40;0,70;12,80
Benin;59,70;252,00;25,00;78,00;786,00;25,20;39,00;74,00;4,59;78,00;1,10;944,00;1286712,00;6,90;0,50;10,70
Bhutan;69,40;216,00;;99,00;;23,60;1,00;98,00;3,57;99,00;0,50;2523,00;776448,00;16,20;0,60;12,50
Bosnia and Herzegovina;77,20;89,00;;89,00;3000,00;55,30;;86,00;9,57;86,00;0,10;5194,00;35662,00;2,40;0,70;14,20
Botswana;65,10;268,00;2,00;95,00;1,00;37,30;2,00;96,00;5,41;95,00;2,30;7498,00;2168573,00;6,40;0,70;12,60
Brazil;74,80;144,00;44,00;96,00;876,00;55,30;49,00;96,00;8,32;93,00;0,10;1227,00;24213133,00;2,70;0,70;15,20
Bulgaria;74,30;138,00;1,00;95,00;;65,10;1,00;88,00;8,44;88,00;0,10;7853,00;7223938,00;1,90;0,80;14,80
Burkina Faso;59,30;268,00;39,00;91,00;343,00;18,80;63,00;91,00;4,96;91,00;0,60;75,00;17585977,00;7,70;0,40;7,70
Burundi;59,10;297,00;22,00;95,00;;18,20;32,00;95,00;7,54;95,00;0,70;313,00;989179,00;7,30;0,40;10,60
Cabo Verde;73,00;117,00;;97,00;;3,50;;95,00;4,76;95,00;0,20;3530,00;526437,00;6,70;0,60;13,50
Cambodia;68,30;179,00;11,00;88,00;;18,90;12,00;87,00;5,68;88,00;0,20;199,00;152779,00;11,00;0,60;10,90
Cameroon;56,70;366,00;47,00;87,00;831,00;28,40;71,00;86,00;4,10;87,00;3,70;1441,00;2223994,00;5,70;0,50;10,40
Canada;82,00;65,00;2,00;55,00;418,00;66,40;2,00;91,00;1,45;91,00;0,10;544,00;35544564,00;0,50;0,90;15,90
Central African Republic;58,00;437,00;15,00;47,00;210,00;22,10;22,00;47,00;4,20;47,00;4,50;377,00;4515392,00;8,30;0,30;7,10
Chad;52,60;362,00;46,00;37,00;1275,00;18,70;78,00;44,00;3,62;37,00;2,90;126,00;13569438,00;8,50;0,40;7,30
Chile;83,00;83,00;2,00;95,00;;63,10;2,00;95,00;7,79;95,00;0,10;14817,00;17613798,00;0,80;0,80;16,20
China;75,80;86,00;171,00;99,00;52628,00;31,90;198,00;99,00;5,55;99,00;0,10;7684,00;136427,00;3,00;0,70;13,10
Colombia;74,60;144,00;11,00;9,00;;57,20;12,00;9,00;7,20;9,00;0,10;7913,00;47791911,00;1,90;0,70;13,60
Comoros;63,20;23,00;1,00;88,00;;23,70;2,00;87,00;6,75;87,00;0,80;853,00;759385,00;6,60;0,50;11,10
Costa Rica;79,50;96,00;1,00;91,00;1,00;59,50;1,00;91,00;9,31;91,00;0,10;1647,00;4757575,00;1,70;0,80;13,90
Croatia;77,80;97,00;;95,00;;63,10;;95,00;7,80;95,00;0,10;13467,00;4238389,00;1,50;0,80;15,10
Cyprus;83,00;53,00;;96,00;10,00;59,80;;99,00;7,37;99,00;0,10;2735,00;115239,00;1,00;0,90;14,00
Djibouti;63,00;252,00;1,00;78,00;;34,40;1,00;78,00;1,57;78,00;2,10;175,00;912164,00;5,40;0,50;6,30
Dominican Republic;73,60;154,00;6,00;89,00;;57,90;7,00;9,00;4,38;91,00;0,30;6269,00;145844,00;3,20;0,70;13,20
Ecuador;76,00;121,00;6,00;83,00;;53,50;7,00;84,00;9,16;83,00;0,10;6432,00;1593112,00;1,10;0,70;14,00
El Salvador;73,30;181,00;2,00;93,00;;55,40;2,00;93,00;6,77;94,00;0,20;3989,00;6281189,00;1,60;0,70;13,20
Equatorial Guinea;57,90;32,00;3,00;2,00;13,00;24,00;4,00;24,00;3,80;2,00;4,40;193,00;1129424,00;8,40;0,60;9,20
Estonia;77,30;122,00;;93,00;;59,40;;93,00;6,38;93,00;0,10;19941,00;1314545,00;1,90;0,90;16,50
Ethiopia;64,20;234,00;140,00;77,00;12739,00;17,20;202,00;75,00;4,88;77,00;0,60;571,00;97366774,00;1,30;0,40;8,40
Fiji;69,70;19,00;;99,00;;61,90;;99,00;4,49;99,00;0,10;546,00;88586,00;3,70;0,70;15,20
France;82,20;79,00;3,00;83,00;267,00;62,00;3,00;98,00;11,54;98,00;0,10;42955,00;66331957,00;0,60;0,90;16,20
Gabon;65,50;237,00;2,00;7,00;33,00;35,80;3,00;68,00;3,44;7,00;2,80;9692,00;1875713,00;6,00;0,70;12,60
Georgia;74,50;125,00;1,00;91,00;3188,00;55,30;1,00;91,00;7,42;91,00;0,10;4430,00;3727,00;2,80;0,80;13,50
Germany;89,00;69,00;2,00;88,00;443,00;61,90;3,00;94,00;11,30;95,00;0,10;4793,00;89825,00;1,10;0,90;17,00
Ghana;62,10;253,00;37,00;98,00;124,00;28,00;54,00;93,00;3,56;98,00;0,80;1432,00;26962563,00;6,30;0,60;11,70
Greece;88,00;73,00;;96,00;1,00;66,00;;99,00;8,80;99,00;0,10;21674,00;1892413,00;0,70;0,90;17,20
Guatemala;71,70;187,00;10,00;73,00;;49,90;13,00;65,00;6,20;73,00;0,40;3688,00;15923559,00;1,20;0,60;10,70
Guinea;58,10;299,00;27,00;51,00;175,00;22,70;41,00;42,00;5,64;51,00;0,50;562,00;118559,00;7,40;0,40;8,60
